geoid,avg_vac_r,SourceFile
06001435601,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001436402,0.0,usps_vac_032019_tractsum_2kx.dbf
06001437400,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001437900,0.0,usps_vac_032019_tractsum_2kx.dbf
06001441301,1000.0,usps_vac_032019_tractsum_2kx.dbf
06001441601,1199.4,usps_vac_032019_tractsum_2kx.dbf
06001443001,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001443102,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001430400,0.0,usps_vac_032019_tractsum_2kx.dbf
06001430700,0.0,usps_vac_032019_tractsum_2kx.dbf
06001451504,690.0,usps_vac_032019_tractsum_2kx.dbf
06001450752,1973.67,usps_vac_032019_tractsum_2kx.dbf
06001440333,0.0,usps_vac_032019_tractsum_2kx.dbf
06001440331,975.5,usps_vac_032019_tractsum_2kx.dbf
06001440304,736.0,usps_vac_032019_tractsum_2kx.dbf
06001440336,804.8,usps_vac_032019_tractsum_2kx.dbf
06001433103,1069.47,usps_vac_032019_tractsum_2kx.dbf
06001410400,973.0,usps_vac_032019_tractsum_2kx.dbf
06001408300,1174.45,usps_vac_032019_tractsum_2kx.dbf
06001408400,1227.0,usps_vac_032019_tractsum_2kx.dbf
06001405401,1179.0,usps_vac_032019_tractsum_2kx.dbf
06001405901,1040.14,usps_vac_032019_tractsum_2kx.dbf
06001407800,825.25,usps_vac_032019_tractsum_2kx.dbf
06001450750,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001432200,2154.67,usps_vac_032019_tractsum_2kx.dbf
06001401400,685.64,usps_vac_032019_tractsum_2kx.dbf
06001403000,821.39,usps_vac_032019_tractsum_2kx.dbf
06001400500,0.0,usps_vac_032019_tractsum_2kx.dbf
06001401100,897.0,usps_vac_032019_tractsum_2kx.dbf
06001404501,700.33,usps_vac_032019_tractsum_2kx.dbf
06001421700,1003.0,usps_vac_032019_tractsum_2kx.dbf
06001423500,1192.56,usps_vac_032019_tractsum_2kx.dbf
06001422800,526.29,usps_vac_032019_tractsum_2kx.dbf
06001422700,1184.83,usps_vac_032019_tractsum_2kx.dbf
06001423601,977.5,usps_vac_032019_tractsum_2kx.dbf
06001428700,1206.4,usps_vac_032019_tractsum_2kx.dbf
06001427300,1220.17,usps_vac_032019_tractsum_2kx.dbf
06001428000,1068.5,usps_vac_032019_tractsum_2kx.dbf
06001431200,0.0,usps_vac_032019_tractsum_2kx.dbf
06001436200,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001436602,4026.0,usps_vac_032019_tractsum_2kx.dbf
06001437702,133.0,usps_vac_032019_tractsum_2kx.dbf
06001435104,1083.67,usps_vac_032019_tractsum_2kx.dbf
06001443321,83.5,usps_vac_032019_tractsum_2kx.dbf
06001442700,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001442800,0.0,usps_vac_032019_tractsum_2kx.dbf
06001441926,0.0,usps_vac_032019_tractsum_2kx.dbf
06001442900,847.33,usps_vac_032019_tractsum_2kx.dbf
06001430800,0.0,usps_vac_032019_tractsum_2kx.dbf
06001431000,0.0,usps_vac_032019_tractsum_2kx.dbf
06001451505,3289.0,usps_vac_032019_tractsum_2kx.dbf
06001451503,2941.6,usps_vac_032019_tractsum_2kx.dbf
06001451506,0.0,usps_vac_032019_tractsum_2kx.dbf
06001451704,1736.67,usps_vac_032019_tractsum_2kx.dbf
06001451401,1020.7,usps_vac_032019_tractsum_2kx.dbf
06001433400,1196.0,usps_vac_032019_tractsum_2kx.dbf
06001440308,782.0,usps_vac_032019_tractsum_2kx.dbf
06001440334,394.36,usps_vac_032019_tractsum_2kx.dbf
06001407101,795.25,usps_vac_032019_tractsum_2kx.dbf
06001450744,735.6,usps_vac_032019_tractsum_2kx.dbf
06001450604,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001407700,956.71,usps_vac_032019_tractsum_2kx.dbf
06001410200,1117.38,usps_vac_032019_tractsum_2kx.dbf
06001409300,724.75,usps_vac_032019_tractsum_2kx.dbf
06001409200,1053.06,usps_vac_032019_tractsum_2kx.dbf
06001409800,1221.33,usps_vac_032019_tractsum_2kx.dbf
06001410100,1225.13,usps_vac_032019_tractsum_2kx.dbf
06001405600,1248.11,usps_vac_032019_tractsum_2kx.dbf
06001408000,0.0,usps_vac_032019_tractsum_2kx.dbf
06001450606,624.0,usps_vac_032019_tractsum_2kx.dbf
06001450742,1211.0,usps_vac_032019_tractsum_2kx.dbf
06001432400,1250.23,usps_vac_032019_tractsum_2kx.dbf
06001981900,0.0,usps_vac_032019_tractsum_2kx.dbf
06001982000,0.0,usps_vac_032019_tractsum_2kx.dbf
06001400800,465.5,usps_vac_032019_tractsum_2kx.dbf
06001403600,1158.33,usps_vac_032019_tractsum_2kx.dbf
06001400100,1158.8,usps_vac_032019_tractsum_2kx.dbf
06001422200,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001420600,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001421500,865.78,usps_vac_032019_tractsum_2kx.dbf
06001428200,1705.87,usps_vac_032019_tractsum_2kx.dbf
06001428302,1215.5,usps_vac_032019_tractsum_2kx.dbf
06001437101,520.6,usps_vac_032019_tractsum_2kx.dbf
06001441503,172.57,usps_vac_032019_tractsum_2kx.dbf
06001435400,1625.5,usps_vac_032019_tractsum_2kx.dbf
06001436401,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001436500,1524.7,usps_vac_032019_tractsum_2kx.dbf
06001442302,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001441925,0.0,usps_vac_032019_tractsum_2kx.dbf
06001442000,0.0,usps_vac_032019_tractsum_2kx.dbf
06001443322,0.0,usps_vac_032019_tractsum_2kx.dbf
06001438400,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001451602,2125.5,usps_vac_032019_tractsum_2kx.dbf
06001430500,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001430900,0.0,usps_vac_032019_tractsum_2kx.dbf
06001451701,126.0,usps_vac_032019_tractsum_2kx.dbf
06001451404,2570.14,usps_vac_032019_tractsum_2kx.dbf
06001440332,666.0,usps_vac_032019_tractsum_2kx.dbf
06001435900,4906.0,usps_vac_032019_tractsum_2kx.dbf
06001436000,1710.8,usps_vac_032019_tractsum_2kx.dbf
06001433900,1081.13,usps_vac_032019_tractsum_2kx.dbf
06001433200,1428.63,usps_vac_032019_tractsum_2kx.dbf
06001444100,1098.0,usps_vac_032019_tractsum_2kx.dbf
06001444601,543.0,usps_vac_032019_tractsum_2kx.dbf
06001450605,0.0,usps_vac_032019_tractsum_2kx.dbf
06001407600,810.75,usps_vac_032019_tractsum_2kx.dbf
06001405000,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001410300,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001408100,1164.17,usps_vac_032019_tractsum_2kx.dbf
06001405200,1087.3,usps_vac_032019_tractsum_2kx.dbf
06001450741,1198.0,usps_vac_032019_tractsum_2kx.dbf
06001450101,1057.93,usps_vac_032019_tractsum_2kx.dbf
06001432501,1207.1,usps_vac_032019_tractsum_2kx.dbf
06001432600,1186.5,usps_vac_032019_tractsum_2kx.dbf
06001432800,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001402500,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001425103,484.4,usps_vac_032019_tractsum_2kx.dbf
06001400700,552.08,usps_vac_032019_tractsum_2kx.dbf
06001425102,500.0,usps_vac_032019_tractsum_2kx.dbf
06001400900,581.4,usps_vac_032019_tractsum_2kx.dbf
06001403800,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001403501,1182.93,usps_vac_032019_tractsum_2kx.dbf
06001402800,1153.67,usps_vac_032019_tractsum_2kx.dbf
06001422900,1267.71,usps_vac_032019_tractsum_2kx.dbf
06001421800,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001423800,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001423000,1066.12,usps_vac_032019_tractsum_2kx.dbf
06001423100,891.74,usps_vac_032019_tractsum_2kx.dbf
06001420500,1184.7,usps_vac_032019_tractsum_2kx.dbf
06001423200,2914.78,usps_vac_032019_tractsum_2kx.dbf
06001422000,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001451403,0.0,usps_vac_032019_tractsum_2kx.dbf
06001404900,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001450400,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001451300,1581.0,usps_vac_032019_tractsum_2kx.dbf
06001428500,1119.25,usps_vac_032019_tractsum_2kx.dbf
06001983200,1016.0,usps_vac_032019_tractsum_2kx.dbf
06001444302,3300.0,usps_vac_032019_tractsum_2kx.dbf
06001402700,1012.55,usps_vac_032019_tractsum_2kx.dbf
06001420100,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001435200,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001405302,1001.67,usps_vac_032019_tractsum_2kx.dbf
06001450602,1152.89,usps_vac_032019_tractsum_2kx.dbf
06001407102,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001401300,1228.8,usps_vac_032019_tractsum_2kx.dbf
06001423901,3528.0,usps_vac_032019_tractsum_2kx.dbf
06001441523,168.0,usps_vac_032019_tractsum_2kx.dbf
06001406500,0.0,usps_vac_032019_tractsum_2kx.dbf
06001423602,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001401800,1212.0,usps_vac_032019_tractsum_2kx.dbf
06001425101,154.0,usps_vac_032019_tractsum_2kx.dbf
06001405301,1103.88,usps_vac_032019_tractsum_2kx.dbf
06001451501,879.25,usps_vac_032019_tractsum_2kx.dbf
06001451703,147.0,usps_vac_032019_tractsum_2kx.dbf
06001421200,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001440301,1173.56,usps_vac_032019_tractsum_2kx.dbf
06001405100,1778.75,usps_vac_032019_tractsum_2kx.dbf
06001409500,0.0,usps_vac_032019_tractsum_2kx.dbf
06001401000,1021.87,usps_vac_032019_tractsum_2kx.dbf
06001404600,518.14,usps_vac_032019_tractsum_2kx.dbf
06001407000,755.6,usps_vac_032019_tractsum_2kx.dbf
06001407900,0.0,usps_vac_032019_tractsum_2kx.dbf
06001421100,932.0,usps_vac_032019_tractsum_2kx.dbf
06001435103,1261.0,usps_vac_032019_tractsum_2kx.dbf
06001402200,1067.74,usps_vac_032019_tractsum_2kx.dbf
06001444602,168.0,usps_vac_032019_tractsum_2kx.dbf
06001441700,1205.0,usps_vac_032019_tractsum_2kx.dbf
06001403300,734.76,usps_vac_032019_tractsum_2kx.dbf
06001441924,1065.0,usps_vac_032019_tractsum_2kx.dbf
06001450603,0.0,usps_vac_032019_tractsum_2kx.dbf
06001433800,1603.21,usps_vac_032019_tractsum_2kx.dbf
06001423700,1185.4,usps_vac_032019_tractsum_2kx.dbf
06001438300,303.57,usps_vac_032019_tractsum_2kx.dbf
06001450701,1173.5,usps_vac_032019_tractsum_2kx.dbf
06001408600,937.73,usps_vac_032019_tractsum_2kx.dbf
06001421900,1242.92,usps_vac_062019_tractsum_2kx.dbf
06001422500,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001451202,1810.88,usps_vac_062019_tractsum_2kx.dbf
06001436700,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001437600,900.8,usps_vac_062019_tractsum_2kx.dbf
06001435300,1193.13,usps_vac_062019_tractsum_2kx.dbf
06001435102,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001436300,1155.13,usps_vac_062019_tractsum_2kx.dbf
06001437701,1086.0,usps_vac_062019_tractsum_2kx.dbf
06001430101,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001442301,1173.5,usps_vac_062019_tractsum_2kx.dbf
06001443104,1174.86,usps_vac_062019_tractsum_2kx.dbf
06001427600,1270.33,usps_vac_062019_tractsum_2kx.dbf
06001428100,1290.6,usps_vac_062019_tractsum_2kx.dbf
06001427100,1317.0,usps_vac_062019_tractsum_2kx.dbf
06001433000,1306.5,usps_vac_062019_tractsum_2kx.dbf
06001407200,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001433300,1191.0,usps_vac_062019_tractsum_2kx.dbf
06001403502,1059.25,usps_vac_062019_tractsum_2kx.dbf
06001404502,914.8,usps_vac_062019_tractsum_2kx.dbf
06001435800,1231.67,usps_vac_062019_tractsum_2kx.dbf
06001433500,1345.17,usps_vac_062019_tractsum_2kx.dbf
06001406100,1279.2,usps_vac_062019_tractsum_2kx.dbf
06001424001,2623.59,usps_vac_062019_tractsum_2kx.dbf
06001425104,610.75,usps_vac_062019_tractsum_2kx.dbf
06001404700,1157.75,usps_vac_062019_tractsum_2kx.dbf
06001404400,1049.62,usps_vac_062019_tractsum_2kx.dbf
06001400400,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001426200,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001450745,0.0,usps_vac_062019_tractsum_2kx.dbf
06001430300,0.0,usps_vac_062019_tractsum_2kx.dbf
06001431100,0.0,usps_vac_062019_tractsum_2kx.dbf
06001433700,2239.3,usps_vac_062019_tractsum_2kx.dbf
06001438000,864.33,usps_vac_062019_tractsum_2kx.dbf
06001428301,1187.5,usps_vac_062019_tractsum_2kx.dbf
06001434000,1843.47,usps_vac_062019_tractsum_2kx.dbf
06001407400,1019.5,usps_vac_062019_tractsum_2kx.dbf
06001432502,1272.67,usps_vac_062019_tractsum_2kx.dbf
06001409100,818.44,usps_vac_062019_tractsum_2kx.dbf
06001402600,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001442602,987.67,usps_vac_062019_tractsum_2kx.dbf
06001441100,1279.38,usps_vac_062019_tractsum_2kx.dbf
06001441521,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001441401,763.0,usps_vac_062019_tractsum_2kx.dbf
06001441923,1245.55,usps_vac_062019_tractsum_2kx.dbf
06001450300,0.0,usps_vac_062019_tractsum_2kx.dbf
06001444200,2996.67,usps_vac_062019_tractsum_2kx.dbf
06001441302,174.0,usps_vac_062019_tractsum_2kx.dbf
06001441800,259.0,usps_vac_062019_tractsum_2kx.dbf
06001444301,2346.67,usps_vac_062019_tractsum_2kx.dbf
06001450501,0.0,usps_vac_062019_tractsum_2kx.dbf
06001427700,819.38,usps_vac_062019_tractsum_2kx.dbf
06001427900,1260.32,usps_vac_062019_tractsum_2kx.dbf
06001409900,1221.33,usps_vac_062019_tractsum_2kx.dbf
06001402400,672.94,usps_vac_062019_tractsum_2kx.dbf
06001406202,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001406602,1170.0,usps_vac_062019_tractsum_2kx.dbf
06001450743,0.0,usps_vac_062019_tractsum_2kx.dbf
06001406601,1236.5,usps_vac_062019_tractsum_2kx.dbf
06001403100,538.8,usps_vac_062019_tractsum_2kx.dbf
06001440305,413.0,usps_vac_062019_tractsum_2kx.dbf
06001404101,1301.6,usps_vac_062019_tractsum_2kx.dbf
06001400600,905.67,usps_vac_062019_tractsum_2kx.dbf
06001403701,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001443200,791.5,usps_vac_062019_tractsum_2kx.dbf
06001438201,820.0,usps_vac_062019_tractsum_2kx.dbf
06001437300,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001441927,0.0,usps_vac_062019_tractsum_2kx.dbf
06001443301,570.5,usps_vac_062019_tractsum_2kx.dbf
06001400200,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001433102,1017.25,usps_vac_062019_tractsum_2kx.dbf
06001405902,1138.34,usps_vac_062019_tractsum_2kx.dbf
06001440335,962.8,usps_vac_062019_tractsum_2kx.dbf
06001404800,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001421400,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001422300,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001432100,1247.0,usps_vac_062019_tractsum_2kx.dbf
06001430102,1352.0,usps_vac_062019_tractsum_2kx.dbf
06001421600,982.46,usps_vac_062019_tractsum_2kx.dbf
06001422100,2854.67,usps_vac_062019_tractsum_2kx.dbf
06001436601,992.0,usps_vac_062019_tractsum_2kx.dbf
